epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.3318,0.8377,4.45288,1.16623,0.00878,0.00354,0.00549,0.00537,0.47305,4.06837,0.86845,5.86885e-05,5.86885e-05,5.86885e-05
2,62.6092,0.68318,3.97932,1.05302,0.02749,0.82548,0.06716,0.06042,0.50023,3.48689,0.90615,0.000116012,0.000116012,0.000116012
3,90.4769,0.68978,3.54897,1.08296,0.18211,0.27198,0.12974,0.11488,0.53671,2.80676,0.98222,0.000170972,0.000170972,0.000170972
4,118.39,0.71008,3.12904,1.1154,0.2406,0.43287,0.2343,0.20389,0.57448,2.34068,1.02861,0.000168367,0.000168367,0.000168367
5,146.404,0.72453,2.7506,1.14685,0.25772,0.57727,0.35186,0.30264,0.57796,2.08083,1.07751,0.000164823,0.000164823,0.000164823
6,173.838,0.71037,2.44524,1.1574,0.34742,0.65309,0.47879,0.41953,0.54276,1.79607,1.06944,0.000161279,0.000161279,0.000161279
7,201.763,0.69581,2.26081,1.14559,0.42977,0.68521,0.56515,0.4991,0.53401,1.6658,1.05671,0.000157735,0.000157735,0.000157735
8,229.88,0.6652,2.08096,1.11107,0.49694,0.73531,0.64477,0.56572,0.54616,1.52069,1.07292,0.000154191,0.000154191,0.000154191
9,257.037,0.65562,1.93366,1.10477,0.55859,0.80621,0.73581,0.65174,0.51968,1.31151,1.05208,0.000150646,0.000150646,0.000150646
10,286.487,0.65076,1.80489,1.09969,0.71299,0.784,0.81681,0.72226,0.51542,1.26862,1.03782,0.000147102,0.000147102,0.000147102
11,313.86,0.64502,1.69775,1.09377,0.69861,0.83069,0.85515,0.76203,0.51209,1.10367,1.03582,0.000143558,0.000143558,0.000143558
12,342.162,0.63392,1.56599,1.07923,0.75251,0.82419,0.86646,0.76688,0.51807,0.98887,1.03997,0.000140014,0.000140014,0.000140014
13,370.033,0.61705,1.47159,1.06978,0.76846,0.87923,0.9146,0.81479,0.50321,1.0221,1.01058,0.00013647,0.00013647,0.00013647
14,398.064,0.60367,1.34701,1.05799,0.81004,0.88001,0.91862,0.82222,0.48448,0.95268,1.00348,0.000132925,0.000132925,0.000132925
15,426.122,0.59835,1.31002,1.05879,0.86679,0.89391,0.94243,0.84497,0.49227,0.82044,1.01355,0.000129381,0.000129381,0.000129381
16,453.868,0.58927,1.23746,1.04257,0.80805,0.9181,0.93933,0.84067,0.4889,0.77628,1.01064,0.000125837,0.000125837,0.000125837
17,482.058,0.5753,1.18735,1.03254,0.89813,0.90453,0.95597,0.85616,0.48859,0.70874,1.00522,0.000122293,0.000122293,0.000122293
18,509.77,0.57107,1.13973,1.03528,0.90305,0.90201,0.95904,0.86113,0.48186,0.70145,1.0121,0.000118749,0.000118749,0.000118749
19,539.441,0.5676,1.08676,1.02264,0.93368,0.91388,0.96563,0.86874,0.47618,0.62816,1.00292,0.000115204,0.000115204,0.000115204
20,567.359,0.58194,1.06926,1.03946,0.9049,0.91338,0.96635,0.86815,0.48163,0.63192,0.99918,0.00011166,0.00011166,0.00011166
21,595.196,0.55979,1.02843,1.01926,0.92962,0.94058,0.97611,0.87637,0.49103,0.58272,1.00486,0.000108116,0.000108116,0.000108116
22,626.555,0.5611,1.00756,1.02328,0.94436,0.94204,0.97794,0.88009,0.47131,0.56336,0.98743,0.000104572,0.000104572,0.000104572
23,653.889,0.55638,0.96412,1.02632,0.91717,0.95724,0.97792,0.87637,0.4684,0.5641,0.98162,0.000101028,0.000101028,0.000101028
24,684.515,0.55775,0.95317,1.01786,0.95253,0.947,0.98006,0.88599,0.46216,0.52416,0.97636,9.74834e-05,9.74834e-05,9.74834e-05
25,713.295,0.54176,0.93158,1.00468,0.95469,0.94613,0.98375,0.88415,0.46364,0.49626,0.97568,9.39392e-05,9.39392e-05,9.39392e-05
26,739.867,0.54888,0.88987,1.01513,0.9577,0.95512,0.98265,0.88538,0.46302,0.48096,0.97836,9.0395e-05,9.0395e-05,9.0395e-05
27,767.708,0.55856,0.89394,1.02013,0.94394,0.95235,0.98079,0.88207,0.47462,0.49117,0.98405,8.68508e-05,8.68508e-05,8.68508e-05
28,795.432,0.54072,0.88478,1.00859,0.95474,0.95331,0.98543,0.89128,0.45359,0.46492,0.96808,8.33066e-05,8.33066e-05,8.33066e-05
29,825.052,0.53748,0.85554,1.00011,0.96948,0.96066,0.98681,0.88905,0.46631,0.45869,0.97634,7.97624e-05,7.97624e-05,7.97624e-05
30,852.891,0.53799,0.85463,1.00171,0.97222,0.95444,0.98523,0.89054,0.45447,0.45577,0.96963,7.62182e-05,7.62182e-05,7.62182e-05
31,880.242,0.54233,0.85271,1.00817,0.96676,0.96779,0.987,0.88988,0.46383,0.45497,0.97653,7.2674e-05,7.2674e-05,7.2674e-05
32,908.12,0.53933,0.82296,1.00816,0.96718,0.96393,0.98758,0.89304,0.45558,0.43582,0.9695,6.91298e-05,6.91298e-05,6.91298e-05
33,934.969,0.52948,0.80915,0.99883,0.97449,0.95918,0.98704,0.89276,0.45548,0.43476,0.97047,6.55856e-05,6.55856e-05,6.55856e-05
34,962.389,0.53351,0.8021,0.99892,0.96524,0.95975,0.98817,0.89333,0.45371,0.43887,0.96728,6.20414e-05,6.20414e-05,6.20414e-05
35,989.283,0.52963,0.79992,0.994,0.95475,0.97595,0.98868,0.89254,0.46093,0.43015,0.97023,5.84972e-05,5.84972e-05,5.84972e-05
36,1016.12,0.52045,0.78036,0.99526,0.97174,0.96564,0.98907,0.89417,0.45224,0.40899,0.96439,5.4953e-05,5.4953e-05,5.4953e-05
