epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.108,1.11197,3.17974,0.93525,0.51394,0.70784,0.62575,0.51882,0.67042,1.34203,0.8284,0.00332572,0.00332572,0.00332572
2,270.857,0.81069,1.30578,0.84987,0.75888,0.87553,0.86384,0.71059,0.68254,0.8017,0.82723,0.00659313,0.00659313,0.00659313
3,406.662,0.8117,1.01081,0.8474,0.81043,0.86226,0.89045,0.75617,0.61551,0.75233,0.82257,0.00979454,0.00979454,0.00979454
4,542.769,0.7724,0.86032,0.84106,0.91038,0.95045,0.96,0.83,0.57188,0.52462,0.81386,0.009703,0.009703,0.009703
5,678.905,0.70038,0.71608,0.82775,0.90816,0.95702,0.96339,0.84365,0.53636,0.48743,0.80629,0.009604,0.009604,0.009604
6,815.124,0.65018,0.63837,0.82185,0.91534,0.95915,0.9677,0.8616,0.49441,0.45112,0.79888,0.009505,0.009505,0.009505
7,951.765,0.62255,0.5957,0.81647,0.94742,0.97639,0.97979,0.87933,0.46934,0.38052,0.79541,0.009406,0.009406,0.009406
8,1088.01,0.59638,0.568,0.81238,0.93653,0.98139,0.97625,0.88274,0.45046,0.36635,0.79194,0.009307,0.009307,0.009307
9,1223.73,0.58452,0.53967,0.81026,0.94179,0.97822,0.97968,0.88501,0.45627,0.35779,0.7927,0.009208,0.009208,0.009208
10,1359.65,0.56818,0.51487,0.80909,0.9475,0.98894,0.98181,0.88035,0.4748,0.33744,0.79593,0.009109,0.009109,0.009109
11,1495.37,0.55307,0.49585,0.80654,0.93854,0.98832,0.97735,0.8946,0.42401,0.33011,0.78833,0.00901,0.00901,0.00901
12,1630.87,0.54199,0.48366,0.80523,0.9457,0.99037,0.98064,0.88841,0.44956,0.3215,0.79163,0.008911,0.008911,0.008911
13,1765.94,0.53555,0.47412,0.80435,0.94945,0.9862,0.9815,0.89711,0.43045,0.31062,0.79025,0.008812,0.008812,0.008812
14,1900.97,0.52366,0.45917,0.80208,0.94601,0.99275,0.98029,0.8993,0.41886,0.30201,0.78783,0.008713,0.008713,0.008713
15,2036.05,0.51365,0.44921,0.80134,0.94557,0.99271,0.98058,0.8947,0.43409,0.30391,0.78859,0.008614,0.008614,0.008614
16,2170.91,0.5093,0.44014,0.80114,0.95006,0.99195,0.98149,0.90782,0.401,0.29024,0.78626,0.008515,0.008515,0.008515
